"","Date","Open","Volume","Adj Close"
"196","16.03.2023",4.64312,"1,89B",4.6913
"197","15.03.2023",4.6913,"2,66B",4.78797
"198","14.03.2023",4.78797,"2,52B",4.8644
"199","13.03.2023",4.8644,"2,49B",4.84739
"200","10.03.2023",4.84739,"2,98B",4.91069
"201","09.03.2023",4.91069,"3,60B",4.82652
"202","08.03.2023",4.82652,"3,05B",4.88295
"203","07.03.2023",4.88295,"3,07B",4.69521
"204","06.03.2023",4.69521,"3,33B",4.69779
"205","03.03.2023",4.69779,"2,82B",4.76824
"206","02.03.2023",4.76824,"2,47B",4.71464
"207","01.03.2023",4.71464,"2,57B",4.69372
"208","28.02.2023",4.69372,"2,84B",4.53934
"209","27.02.2023",4.53934,"2,97B",4.55696
"210","24.02.2023",4.55696,"2,49B",4.53453
"211","23.02.2023",4.53453,"2,35B",4.62927
"212","22.02.2023",4.62927,"2,33B",4.63539
"213","21.02.2023",4.63539,"2,56B",4.55212
"214","20.02.2023",4.55212,"2,23B",4.44428
"215","17.02.2023",4.44428,"1,87B",4.78038
"216","16.02.2023",4.78038,"2,41B",4.29207
"217","15.02.2023",4.29207,"787,08M",3.74635
"218","08.02.2023",3.74635,NA,4.39195
"219","07.02.2023",4.39195,"1,65B",4.36345
"220","06.02.2023",4.36345,"585,39M",4.25676
"221","03.02.2023",4.25676,"3,34B",4.21742
"222","02.02.2023",4.21742,"4,00B",4.46793
"223","01.02.2023",4.46793,"2,57B",4.54185
"224","31.01.2023",4.54185,"3,02B",4.66384
"225","30.01.2023",4.66384,"2,35B",4.64832
"226","27.01.2023",4.64832,"2,87B",4.74466
"227","26.01.2023",4.74466,"2,75B",4.8431
"228","25.01.2023",4.8431,"3,12B",4.82931
"229","24.01.2023",4.82931,"3,22B",4.93005
"230","23.01.2023",4.93005,"3,53B",4.85923
"231","20.01.2023",4.85923,"3,66B",4.78379
"232","19.01.2023",4.78379,"3,06B",4.75217
"233","18.01.2023",4.75217,"3,68B",4.6457
"234","17.01.2023",4.6457,"4,20B",4.45316
"235","16.01.2023",4.45316,"3,29B",4.40257
"236","13.01.2023",4.40257,"3,02B",4.30808
"237","12.01.2023",4.30808,"3,89B",4.43426
"238","11.01.2023",4.43426,"3,08B",4.57811
"239","10.01.2023",4.57811,"3,14B",4.78833
"240","09.01.2023",4.78833,"3,27B",4.54362
"241","06.01.2023",4.54362,"4,16B",4.92366
"242","05.01.2023",4.92366,"3,58B",4.99798
"243","04.01.2023",4.99798,"4,08B",5.03623
"244","03.01.2023",5.03623,"4,32B",4.91638
"245","02.01.2023",4.91638,"3,87B",NA
